X1,X2,X3,X4,X5,X6,X7,X8,X9,y
M,J2,DKZIE,CODEZ16,SP,CLRV,63,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,68,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,78,XXX,BBB,BBB-PA03
M,J2,DKZIE,CODEZ16,SP,CLRV,94,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04;BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ16,SP,CLRV,94,XXX,DDDDD,DDDDD-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,94,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ16,SP,CLRV,5.2,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,5.9,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,8.5,XXX,BBB,BBB-PA02;BBB-PA03
M,J2,DKZIE,CODEZ16,SP,CLRV,107,XXX,BBB,BBB-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,111,XXX,BBB,BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,111,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ16,SP,CLRV,120,XXX,DFDF,DFDF-PA01;DFDF-PA02;DFDF-PA03;DFDF-PA04
M,J2,DKZIE,CODEZ17,SP,CLCV,0,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ17,SP,CLCV,11,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,20,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,26,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,28,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,34,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,37,XXX,BBB,BBB-CE04;BBB-CE05
M,J2,DKZIE,CODEZ17,SP,CLCV,37,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,40,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,50,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,60,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,63,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,68,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,78,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,94,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,94,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,5.2,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ17,SP,CLCV,8.5,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ17,SP,CLCV,107,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,111,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ17,SP,CLCV,120,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ18,SP,CLAV,11,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,20,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,26,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,28,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,34,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,37,XXX,BBB,BBB-AE04
